name,zone,club,grade,title,last_played,player_key,profile_url
Rob Frame,E1,NA,1008,NA,2022-05-23,e1 rob frame,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20rob%20frame
Yoon Nam,W1,NA,1006,NA,NA,w1 yoon nam,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20yoon%20nam
Mike Donofrio,E1,NA,1005,NA,NA,e1 mike donofrio,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20mike%20donofrio
Norman Speak,W1,NA,1004,NA,NA,w1 norman speak,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20norman%20speak
Pahul Ahluwalia,E1,NA,1001,NA,NA,e1 pahul ahluwalia,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20pahul%20ahluwalia
Kieran Willacot,E1,NA,1000,NA,2022-03-21,e1 kieran willacot,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20kieran%20willacot
Arnav Kulkarni,E1,NA,996,NA,2022-03-29,e1 arnav kulkarni,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20arnav%20kulkarni
Jordan Conroy,E1,NA,994,NA,NA,e1 jordan conroy,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20jordan%20conroy
Osian Jessop,G1,NA,994,NA,NA,g1 osian jessop,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20osian%20jessop
Calum Newton,W1,NA,993,NA,NA,w1 calum newton,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20calum%20newton
John Pearce,E1,NA,991,NA,NA,e1 john pearce,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20john%20pearce
Kit Barker,D1,NA,990,NA,NA,d1 kit barker,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=d1%20kit%20barker
Scott Davidson,E1,NA,989,NA,NA,e1 scott davidson,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20scott%20davidson
Andrew Powell,W1,NA,986,NA,2022-04-05,w1 andrew powell,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20andrew%20powell
Kaleum Lock,W1,NA,976,NA,NA,w1 kaleum lock,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20kaleum%20lock
